Sludge Temperature,Gas Temperature,Gas,Pressure,pH
25,26,11107,3000,6
24,26,11064,2875,6
24,26,11171,2625,6
24,26,11150,2625,6
24,26,11128,2375,6
24,26,11347,2875,6
24,26,11215,2375,6
24,26,11258,2375,6
24,26,11436,2625,6
24,26,11481,2625,6
24,26,11369,2500,6
24,26,11258,2500,6
24,26,11414,2500,6
24,26,11481,2375,6
24,26,11504,2625,6
24,26,11596,2125,6
24,26,11550,2625,6
24,26,11688,2375,6
24,26,11665,2250,6
24,26,11806,2125,6
24,26,11712,2250,6
25,26,11782,2375,6
24,26,11665,2500,6
24,26,11759,2125,6
24,27,11878,2250,6
24,27,11735,2000,6
24,27,11735,2375,6
24,27,11712,2375,6
24,28,11619,3125,6
24,28,11854,3125,6
24,28,11806,3625,6
24,29,11950,4125,6
24,29,11806,3875,6
25,29,11878,4500,6
25,30,11975,5000,6
25,30,12172,4750,6
25,30,12222,5250,6
25,30,12172,5500,6
25,31,12122,4875,6
25,31,12097,5250,6
26,32,12172,6000,6
26,32,12097,5625,6
26,32,12122,6250,6
26,32,12298,5875,6
27,32,12222,6375,6
26,32,12400,6500,6
26,33,12400,6250,6
27,33,12349,6500,6
27,32,12991,6500,6
27,30,15628,6375,6
27,30,15293,5875,6
27,30,14589,5375,6
27,30,14290,5375,6
27,30,13751,5125,6
27,30,13721,5500,6
27,30,13275,5375,6
27,30,13047,5500,6
27,30,12991,5500,6
27,30,13275,5750,6
27,30,13217,5250,6
27,30,13304,5375,6
27,29,13131,5250,6
27,29,13246,5000,6
27,29,13333,5000,6
27,29,13188,5000,6
27,29,13362,4875,6
27,29,13047,4875,6
27,29,13131,4750,6
27,29,13569,4625,6
27,28,13304,4375,6
26,28,13131,4750,6
26,28,13188,4500,6
26,28,13480,4500,6
26,28,13160,4375,6
26,28,13391,4625,6
26,28,13690,3500,6
26,28,13690,3875,6
26,27,13333,3250,6
26,27,13480,3125,6
26,27,13391,3125,6
26,27,13751,3250,6
26,27,13450,3125,6
26,27,13450,3000,6
26,27,13539,3250,6
26,27,13480,3375,6
26,27,13217,3125,6
26,27,13275,3125,6
26,27,13569,3000,6
25,27,13362,3000,6
25,27,13391,2625,6
25,27,13599,2750,6
25,27,13569,2875,6
25,26,13539,2625,6
25,27,13782,2750,6
25,26,13751,2500,6
25,26,13782,2625,6
25,26,13721,2625,6
25,26,13844,2375,6
25,26,13782,2375,6
25,26,14160,2500,6
25,26,13813,2375,6
25,26,13782,2625,6
25,27,13937,2375,6
25,27,14192,2375,6
25,27,14290,2750,6
25,28,14257,2875,6
25,28,14257,3000,6
25,28,14128,3125,6
25,29,14128,4125,6
25,29,14064,4250,6
25,30,14160,4750,6
25,31,14160,5000,6
25,31,14290,5250,6
26,31,14421,5375,6
26,31,14522,5375,6
26,31,14388,5625,6
26,32,14064,5750,6
26,32,14257,6000,6
26,32,14355,5875,6
26,32,14725,6500,6
27,32,14794,6500,6
27,31,15897,6375,6
27,30,16015,6000,6
27,30,15628,5625,6
27,29,15628,5000,6
27,29,16054,5375,6
27,28,15819,4875,6
27,28,15858,4625,6
26,28,15590,4625,6
26,28,15148,4625,6
26,28,15293,4750,6
26,29,14623,4000,6
26,29,14522,4000,6
26,29,14691,4375,6
26,29,14829,4375,6
26,29,14829,4375,6
26,29,15220,4625,6
26,29,14934,4375,6
26,29,15040,4875,6
26,29,15148,4625,6
26,29,15220,4500,6
26,28,15781,4125,6
26,28,15590,4625,6
26,28,15515,4500,6
26,28,15477,4375,6
26,28,15819,4375,6
26,28,15515,4500,6
26,28,15742,3750,6
26,28,15552,3250,6
26,28,15781,3000,6
26,28,15666,3250,6
26,28,15440,3125,6
26,28,15819,3375,6
26,28,15781,3000,6
26,28,15590,3125,6
26,28,15742,3250,6
26,28,15819,3375,6
26,28,15975,3125,6
26,27,15819,3125,6
25,27,15552,3250,6
25,27,16054,2875,6
25,27,15819,3125,6
25,27,15515,3000,6
25,27,15819,3000,6
25,27,15975,3125,6
26,27,16054,2625,6
25,27,15477,2750,6
25,27,15628,2625,6
25,27,15897,2500,6
25,27,15819,2750,6
25,27,16254,2625,6
25,27,16015,2500,6
25,26,16174,2750,6
25,27,15936,2750,6
25,27,16094,2375,6
25,27,16214,2625,6
25,27,16094,2625,6
25,27,16254,2375,6
25,27,16795,2375,6
25,27,16710,2750,6
25,27,16625,2500,6
25,28,16336,2875,6
25,28,16459,3000,6
25,28,16837,3625,6
25,29,16254,4750,6
25,29,16625,4250,6
25,29,16625,4875,6
25,29,16752,4875,6
25,30,16752,4375,6
25,30,16667,5000,6
25,31,16795,5375,6
25,31,16837,5500,6
26,32,17186,5625,6
26,32,17098,6250,6
26,32,17365,6250,6
26,33,17054,6375,6
26,33,16924,6500,6
27,32,17320,6500,6
27,31,18656,6625,6
27,30,19174,6375,6
27,31,17501,5875,6
27,32,17365,6125,6
27,32,17456,6000,6
27,33,17365,6625,6
27,33,17732,6125,6
27,33,17275,6750,6
28,33,17186,7250,6
27,33,17593,7000,6
28,33,17826,7125,6
28,33,17593,7375,6
28,33,18307,7250,6
28,33,18063,7500,6
28,32,18555,7000,6
28,32,18405,6625,6
28,31,18307,6000,6
28,31,18605,6000,6
28,31,18758,6125,6
28,30,18861,6125,6
28,30,18209,5875,6
28,30,18605,5625,6
28,30,18112,5500,6
28,30,18063,5375,6
28,30,17920,5250,6
27,29,17826,5250,6
27,29,17873,5000,6
27,29,18160,5125,6
28,29,17873,5125,6
27,29,18160,5250,6
27,29,18405,5250,6
27,29,18605,5000,6
27,29,18160,4500,6
27,29,18505,4875,6
27,29,19016,4875,6
27,29,19069,4875,6
27,28,19442,4375,6
27,28,19069,4375,6
27,28,19335,4375,6
27,28,18758,4875,6
27,28,18356,4625,6
27,28,18656,4125,6
27,28,18505,4250,6
26,28,19388,4250,6
26,28,18555,4250,6
26,28,18455,3875,6
26,28,19281,3875,6
26,28,19069,4375,6
26,28,19016,4625,6
26,28,18758,3625,6
26,28,19281,4125,6
26,28,19016,4500,6
26,28,19122,3750,6
26,28,18912,3375,6
26,27,18964,3250,6
26,27,18758,3375,6
26,27,19122,4250,6
26,27,19497,3375,6
26,28,19335,2875,6
26,28,19828,2875,6
26,28,20111,3375,6
26,28,19717,4250,6
26,29,19941,4500,6
26,29,19228,4625,6
26,29,19281,4875,6
26,30,19661,4875,6
26,30,19388,5125,6
26,31,19941,5375,6
26,31,19997,5625,6
26,31,19828,5750,6
26,32,20226,6125,6
27,32,20226,6125,6
27,32,19997,6625,6
27,33,20111,6625,6
27,33,19997,6750,6
27,34,19997,7000,6
27,34,20111,7375,6
28,34,20226,7375,6
28,34,20401,7875,6
28,34,21001,7625,6
28,34,21439,8000,6
28,33,21566,7625,6
28,33,21375,7625,6
28,33,20111,7375,6
28,33,20758,7375,6
28,33,20284,7250,6
28,34,20940,7125,6
29,34,21063,7875,6
29,34,21125,7750,6
29,34,21375,8000,6
29,34,21566,7750,6
29,34,20758,7750,6
29,33,21063,7750,6
29,33,21439,7375,6
29,32,21760,7250,6
29,32,22291,6500,6
29,31,22224,6750,6
29,31,22496,6500,6
29,31,22427,6375,6
28,30,23128,6000,6
29,30,22985,5500,6
28,30,22224,6000,6
28,29,21250,5375,6
28,29,20940,5125,6
28,29,20879,5125,6
28,29,20818,5000,6
28,29,21187,5125,6
28,28,21891,4875,6
28,28,21187,5125,6
27,28,20940,4625,6
27,28,21826,4625,6
27,28,21250,4875,6
27,28,21631,4625,6
27,28,22023,4750,6
27,28,21631,4375,6
27,28,21566,4625,6
27,28,21631,4375,6
27,27,22359,4000,6
27,27,22496,3625,6
26,27,22773,3250,6
27,27,22023,3625,6
26,27,23345,4250,6
26,27,22496,3875,6
26,27,22224,3500,6
26,27,23128,3250,6
26,27,23128,3000,6
26,27,23345,3125,6
26,27,22914,3125,6
26,27,22914,3000,6
26,27,22985,3000,6
26,27,23056,3125,6
25,26,23492,2875,6
25,26,25206,2625,6
25,26,23940,2750,6
25,26,23789,2875,6
25,26,24560,2750,6
25,27,23640,2750,6
25,27,24560,2875,6
25,27,24016,3125,6
25,27,24093,4000,6
25,28,25456,3375,6
25,28,25456,4500,6
25,29,24560,4750,6
25,30,24403,5125,6
25,30,24325,5125,6
26,31,25456,5250,6
26,32,24719,6125,6
26,32,24961,6250,6
26,32,25289,6500,6
26,32,24961,6625,6
27,33,24961,6750,6
27,33,24719,7125,6
27,33,24961,7500,6
27,34,25206,7375,6
27,34,25042,7750,6
28,34,24880,7875,6
28,34,25624,8000,6
28,34,25709,8125,6
28,34,25624,7625,6
28,35,25372,8125,6
28,35,25456,8250,6
28,35,25624,8375,6
29,35,25372,8500,6
29,35,25540,8125,6
29,35,25709,8500,6
29,35,25794,8375,6
29,35,23940,8250,6
29,35,22359,8375,6
29,35,27039,8375,6
30,34,34030,8625,6
30,34,32124,8000,6
30,33,33505,7875,6
30,33,31763,7375,6
30,32,31763,7125,6
29,32,31292,7250,6
29,31,31526,7000,6
29,31,30271,6500,6
29,31,29942,6250,6
29,30,30718,6250,6
29,30,31644,6125,6
29,30,28785,5875,6
29,30,27506,5750,6
29,29,28582,5500,6
29,29,27793,5500,6
28,29,27697,5500,6
28,29,26855,5500,6
28,29,27506,5125,6
28,29,26947,5000,6
28,28,26764,5000,6
28,28,26673,5000,6
28,28,26673,4625,6
27,28,26673,4375,6
27,28,26947,4750,6
27,28,27224,4750,6
27,28,27131,4375,6
27,28,27412,4250,6
27,28,27318,4375,6
27,27,26855,4375,6
27,27,26405,3875,6
27,27,26583,4000,6
27,27,26764,3625,6
26,27,28085,4250,6
26,27,27793,4375,6
26,27,29834,4125,6
26,27,28482,3375,6
26,27,27890,3375,6
26,27,28282,3250,6
26,27,28990,3125,6
26,27,28282,3125,6
26,26,28887,3000,6
26,26,29093,2875,6
25,26,28683,2750,6
25,26,28990,2625,6
25,26,28887,3000,6
25,27,29302,2750,6
25,27,28785,2875,6
25,27,29726,3250,6
25,28,32124,3250,6
25,28,31408,4000,6
25,28,31644,4750,6
25,30,32246,5250,6
26,30,31526,5000,6
26,31,31408,5500,6
26,31,31060,6125,6
26,32,32740,6125,6
26,32,31060,6375,6
26,32,32124,6500,6
27,32,31060,6875,6
27,33,31763,6875,6
27,33,31763,6750,6
27,33,31763,7000,6
27,33,31292,7375,6
27,34,31292,7375,6
28,34,31292,7500,6
28,34,31408,7750,6
28,34,32491,7875,6
28,35,32368,7750,6
28,35,32615,8000,6
29,35,31883,8375,6
29,35,32491,8500,6
29,35,32491,8250,6
29,35,32740,8750,6
29,35,32992,8500,6
29,35,34030,8625,6
29,36,27131,9125,6
30,36,29513,8750,6
30,35,44581,9125,6
30,35,47352,8875,6
30,34,48260,8375,6
30,34,47577,8000,6
30,33,50157,7875,6
30,32,49672,7500,6
30,32,49914,7000,6
29,31,48723,6625,6
30,31,49194,6625,6
29,31,45198,6500,6
29,30,42808,6375,6
29,30,45198,5750,6
29,30,43977,5375,6
29,30,41686,6000,6
29,29,40610,5750,6
29,29,40964,5250,6
29,29,40787,5625,6
28,29,39917,5125,6
28,29,39747,5125,6
28,29,41504,5375,6
28,29,39409,4875,6
28,29,37945,4750,6
28,29,38263,4625,6
28,28,38585,4750,6
28,28,39076,5125,6
27,28,36714,4750,6
27,28,36714,4625,6
27,28,37787,4375,6
27,28,36864,4375,6
27,27,38747,4375,6
27,27,37321,3625,6
27,27,36714,3250,6
27,27,37787,3750,6
26,27,37476,4000,6
26,27,36714,3375,6
26,27,37321,3375,6
26,27,38585,3000,6
26,26,37321,3125,6
26,26,38423,3250,5
26,26,38585,2875,6
26,26,39577,2750,5
25,26,39076,3000,5
26,26,39409,2625,5
25,26,39242,3000,5
25,26,39242,2875,5
25,27,39242,2625,5
25,27,42241,3000,5
25,27,40435,3125,5
25,28,42429,3875,5
26,28,43192,3750,5
25,29,43779,4375,5
25,30,42241,4625,5
26,30,42999,5000,5
26,30,44785,5125,5
26,31,41870,5375,4
26,32,41870,6375,5
26,32,41686,6625,4
26,32,43779,6750,5
27,32,40787,6500,5
27,33,40435,7125,5
27,33,41143,7375,5
28,33,41686,7625,5
27,34,41870,7625,5
28,34,42055,8125,4
28,34,42241,8000,4
28,34,42999,8000,4
28,34,45828,7750,4
28,34,43977,7750,4
28,34,41504,8000,5
29,34,44378,7750,4
29,35,46256,7875,4
29,35,47803,8250,4
29,35,46909,8250,4
29,35,46256,8375,4
